"OFFENSE_TYPE_ID","OFFENSE_CATEGORY_ID","REPORTED_DATE","INCIDENT_ADDRESS","NEIGHBORHOOD_ID","IS_CRIME","IS_TRAFFIC"
"weapon-unlawful-discharge-of","all-other-crimes","6/15/2016 11:31:00 ",,"montbello","true","false"
"theft-other","larceny","1/29/2018 5:53:00 ",,"gateway-green-valley-ranch","true","false"
"theft-items-from-vehicle","theft-from-motor-vehicle","4/26/2016 9:02:00 ","2932 S JOSEPHINE ST","wellshire","true","false"
"theft-other","larceny","1/30/2018 10:29:00 ","705 S COLORADO BLVD","belcaro","true","false"
"theft-shoplift","larceny","6/23/2017 4:09:00 ","2810 E 1ST AVE","cherry-creek","true","false"
"traf-other","all-other-crimes","1/31/2018 1:29:00 ","2100 BLOCK E 17TH AVE","city-park-west","true","false"
"theft-parts-from-vehicle","theft-from-motor-vehicle","1/26/2018 12:24:00 ","995 N FEDERAL BLVD","villa-park","true","false"
"criminal-trespassing","all-other-crimes","1/30/2018 10:33:00 ","E SPEER BLVD / N GRANT ST","speer","true","false"
"traffic-accident-hit-and-run","traffic-accident","1/30/2018 9:17:00 ","W 13TH AVE / N CHEROKEE ST","civic-center","false","true"
"theft-items-from-vehicle","theft-from-motor-vehicle","1/31/2018 7:07:00 ","2828 N ZUNI ST","highland","true","false"
"drug-methampetamine-possess","drug-alcohol","1/30/2018 10:12:00 ","E EVANS AVE / S GRAPE ST","goldsmith","true","false"
"theft-parts-from-vehicle","theft-from-motor-vehicle","1/30/2018 5:42:00 ","1220 S INCA ST","ruby-hill","true","false"
"theft-shoplift","larceny","5/31/2016 6:30:00 ","1505 S COLORADO BLVD","cory-merrill","true","false"
"theft-of-motor-vehicle","auto-theft","6/12/2017 3:24:00 ","2850 W 26TH AVE","jefferson-park","true","false"
"theft-shoplift","larceny","4/16/2016 4:06:00 ","950 S QUEBEC ST","windsor","true","false"
"theft-items-from-vehicle","theft-from-motor-vehicle","5/28/2017 7:58:00 ","3400 BLK N WYANDOT ST","highland","true","false"
"theft-of-motor-vehicle","auto-theft","6/17/2017 7:12:00 ","6825 E ILIFF AVE","goldsmith","true","false"
"criminal-trespassing","all-other-crimes","1/29/2018 2:50:00 ","10TH / COLFAX","lincoln-park","true","false"
"fraud-by-use-of-computer","white-collar-crime","1/29/2018 2:15:00 ","803 S PEARL ST","washington-park-west","true","false"
"traffic-accident","traffic-accident","1/30/2018 12:38:00 ","N HAVANA ST / I70 HWYWB","stapleton","false","true"
"traf-other","all-other-crimes","1/30/2018 12:00:00 ","3900 BLK N PEORIA WAY","stapleton","true","false"
"traffic-accident","traffic-accident","1/29/2018 3:00:00 ","E LOWRY BLVD / N YOSEMITE WAY","lowry-field","false","true"
"traffic-accident-hit-and-run","traffic-accident","1/30/2018 5:13:00 ","29TH ST / WELTON ST","five-points","false","true"
"traf-other","all-other-crimes","1/30/2018 1:09:00 ","3200 BLOCK E 48TH AVE","elyria-swansea","true","false"
"burglary-business-by-force","burglary","1/30/2018 8:57:00 ","5770 E WARREN AVE","goldsmith","true","false"
"theft-embezzle","white-collar-crime","1/30/2018 3:19:00 ","7400 E HAMPDEN AVE","hampden-south","true","false"
"threats-to-injure","public-disorder","1/30/2018 3:50:00 ","8900 PENA BLVD","dia","true","false"
"traf-other","all-other-crimes","1/30/2018 12:51:00 ","1600 BLOCK S BROADWAY ST","platt-park","true","false"
"theft-of-motor-vehicle","auto-theft","5/6/2017 9:48:00 ",,"west-colfax","true","false"
"criminal-trespassing","all-other-crimes","6/24/2016 8:08:00 ","5046 N AKRON ST","stapleton","true","false"
"theft-other","larceny","1/30/2018 10:11:00 ","3400 S LOWELL BLVD","harvey-park-south","true","false"
"theft-of-motor-vehicle","auto-theft","5/18/2016 1:05:00 ","400 BLK N DELAWARE ST","baker","true","false"
"theft-from-bldg","larceny","1/30/2018 11:22:00 ","1223 N LAFAYETTE ST","cheesman-park","true","false"
"theft-of-motor-vehicle","auto-theft","1/30/2018 4:00:00 ","24558 E 75TH AVE","dia","true","false"
"liquor-possession","drug-alcohol","1/30/2018 7:44:00 ","800 N DELAWARE ST","lincoln-park","true","false"
"aggravated-assault","aggravated-assault","8/1/2017 8:34:00 ","16TH ST / CLEVELAND PL","cbd","true","false"
"theft-of-motor-vehicle","auto-theft","4/25/2016 6:45:00 ","2300 BLK S LINCOLN ST","rosedale","true","false"
"theft-parts-from-vehicle","theft-from-motor-vehicle","1/31/2018 8:22:00 ","5534 N MALAYA ST","gateway-green-valley-ranch","true","false"
"criminal-mischief-mtr-veh","public-disorder","1/30/2018 4:15:00 ","9575 E 40TH AVE","stapleton","true","false"
"kidnap-adult-victim","all-other-crimes","1/31/2018 12:29:00 ",,"cbd","true","false"
"violation-of-restraining-order","all-other-crimes","1/30/2018 12:28:00 ","7700 BLK E 23RD AVE","stapleton","true","false"
"theft-of-motor-vehicle","auto-theft","1/30/2018 11:03:00 ","7001 N YAMPA ST","dia","true","false"
"weapon-unlawful-discharge-of","all-other-crimes","1/30/2018 10:14:00 ","12900 BLOCK E ANDREWS DR","montbello","true","false"
"traffic-accident","traffic-accident","1/30/2018 5:30:00 ","E 6TH AVE / N IVY LN","hilltop","false","true"
"theft-other","larceny","4/13/2016 6:02:00 ","496 S DAYTON ST","windsor","true","false"
"theft-from-bldg","larceny","5/27/2016 12:36:00 ","3000 E 1ST AVE","cherry-creek","true","false"
"criminal-mischief-other","public-disorder","1/30/2018 10:42:00 ","525 N PERRY ST","barnum-west","true","false"
